N,pred.type,seconds,algorithm
19,pred.rnorm,0.00017228,squared.hinge.each.example
19,pred.rnorm,0.00016588,squared.hinge.each.example
19,pred.rnorm,0.00014092,sort
39,pred.in.interval,0.00024508,aum
39,pred.in.interval,6.524e-05,aum
39,pred.in.interval,0.00026732,sort
39,pred.in.interval,0.00024436,squared.hinge.each.example
39,pred.in.interval,0.00017008,sort
39,pred.in.interval,8.012e-05,aum
39,pred.in.interval,0.00015432,sort
39,pred.in.interval,0.00014672,sort
39,pred.in.interval,0.00014276,sort
39,pred.in.interval,6.7e-05,aum
39,pred.in.interval,0.00019468,squared.hinge.each.example
39,pred.in.interval,7.02e-05,aum
39,pred.in.interval,0.00016936,sort
39,pred.in.interval,0.00014676,sort
39,pred.in.interval,7.008e-05,aum
39,pred.in.interval,0.0001512,sort
39,pred.in.interval,0.00014696,sort
39,pred.in.interval,0.00021032,squared.hinge.each.example
39,pred.in.interval,0.00017984,squared.hinge.each.example
39,pred.in.interval,0.00019856,squared.hinge.each.example
39,pred.in.interval,0.0001624,sort
39,pred.in.interval,0.00017796,squared.hinge.each.example
39,pred.in.interval,0.00016952,squared.hinge.each.example
39,pred.in.interval,8.12e-05,aum
39,pred.in.interval,0.0001868,squared.hinge.each.example
39,pred.in.interval,7.736e-05,aum
39,pred.in.interval,0.00019532,squared.hinge.each.example
39,pred.in.interval,7.008e-05,aum
39,pred.in.interval,6.792e-05,aum
39,pred.in.interval,0.00019316,squared.hinge.each.example
39,pred.rnorm,0.00040924,squared.hinge.each.example
39,pred.rnorm,0.00022944,sort
39,pred.rnorm,9.868e-05,aum
39,pred.rnorm,6.284e-05,aum
39,pred.rnorm,0.00017932,squared.hinge.each.example
39,pred.rnorm,0.00016928,squared.hinge.each.example
39,pred.rnorm,0.00016412,sort
39,pred.rnorm,0.00015788,sort
39,pred.rnorm,0.00015232,sort
39,pred.rnorm,6.66e-05,aum
39,pred.rnorm,6.316e-05,aum
39,pred.rnorm,0.00017664,squared.hinge.each.example
39,pred.rnorm,0.000161,sort
39,pred.rnorm,6.292e-05,aum
39,pred.rnorm,0.00017536,squared.hinge.each.example
39,pred.rnorm,6.368e-05,aum
39,pred.rnorm,0.00016316,sort
39,pred.rnorm,0.00015672,sort
39,pred.rnorm,6.364e-05,aum
39,pred.rnorm,0.0001588,sort
39,pred.rnorm,6.272e-05,aum
39,pred.rnorm,6.484e-05,aum
39,pred.rnorm,0.00015824,sort
39,pred.rnorm,0.00017924,squared.hinge.each.example
39,pred.rnorm,0.00016988,squared.hinge.each.example
39,pred.rnorm,0.000172,squared.hinge.each.example
39,pred.rnorm,6.716e-05,aum
39,pred.rnorm,0.00022004,squared.hinge.each.example
39,pred.rnorm,0.000174,squared.hinge.each.example
39,pred.rnorm,0.00016908,sort
79,pred.in.interval,0.00042852,sort
79,pred.in.interval,0.00014568,aum
79,pred.in.interval,0.00025816,squared.hinge.each.example
79,pred.in.interval,0.0001786,squared.hinge.each.example
79,pred.in.interval,0.00018028,sort
79,pred.in.interval,0.00018724,squared.hinge.each.example
79,pred.in.interval,0.00017312,sort
79,pred.in.interval,0.00018732,squared.hinge.each.example
79,pred.in.interval,0.00010748,aum
79,pred.in.interval,0.0001858,squared.hinge.each.example
79,pred.in.interval,9.884e-05,aum
79,pred.in.interval,0.00017996,sort
79,pred.in.interval,0.00010024,aum
79,pred.in.interval,0.00010676,aum
79,pred.in.interval,9.472e-05,aum
79,pred.in.interval,9.268e-05,aum
79,pred.in.interval,0.0001778,sort
79,pred.in.interval,0.00019496,squared.hinge.each.example
79,pred.in.interval,0.00017284,sort
79,pred.in.interval,0.0001844,squared.hinge.each.example
79,pred.in.interval,0.0001814,squared.hinge.each.example
79,pred.in.interval,0.00010396,aum
79,pred.in.interval,0.00010552,aum
79,pred.in.interval,0.00018888,squared.hinge.each.example
79,pred.in.interval,9.84e-05,aum
79,pred.in.interval,0.00017916,sort
79,pred.in.interval,0.00016964,sort
79,pred.in.interval,0.00019136,squared.hinge.each.example
79,pred.in.interval,0.00022456,sort
79,pred.in.interval,0.00017652,sort
79,pred.rnorm,0.00042516,sort
79,pred.rnorm,0.00026548,squared.hinge.each.example
79,pred.rnorm,0.00018248,sort
79,pred.rnorm,0.000184,squared.hinge.each.example
79,pred.rnorm,0.00018044,squared.hinge.each.example
79,pred.rnorm,0.00013744,aum
79,pred.rnorm,0.0001054,aum
79,pred.rnorm,0.00018704,squared.hinge.each.example
79,pred.rnorm,0.00018188,sort
79,pred.rnorm,0.00018372,squared.hinge.each.example
79,pred.rnorm,0.00010168,aum
79,pred.rnorm,0.00017776,sort
79,pred.rnorm,0.00018832,squared.hinge.each.example
79,pred.rnorm,0.00010044,aum
79,pred.rnorm,0.00010532,aum
79,pred.rnorm,9.248e-05,aum
79,pred.rnorm,0.00017912,sort
79,pred.rnorm,0.00016976,sort
79,pred.rnorm,0.00018724,squared.hinge.each.example
79,pred.rnorm,0.0001014,aum
79,pred.rnorm,0.00018396,squared.hinge.each.example
79,pred.rnorm,0.00018184,squared.hinge.each.example
79,pred.rnorm,0.00017832,sort
79,pred.rnorm,0.0001708,sort
79,pred.rnorm,0.00010244,aum
79,pred.rnorm,0.00017504,sort
79,pred.rnorm,9.748e-05,aum
79,pred.rnorm,0.00021824,sort
79,pred.rnorm,0.00010116,aum
79,pred.rnorm,0.0001958,squared.hinge.each.example
157,pred.in.interval,0.00045408,squared.hinge.each.example
157,pred.in.interval,0.0002272,aum
157,pred.in.interval,0.00020504,squared.hinge.each.example
157,pred.in.interval,0.00019732,squared.hinge.each.example
157,pred.in.interval,0.0002002,squared.hinge.each.example
157,pred.in.interval,0.00019684,squared.hinge.each.example
157,pred.in.interval,0.00018284,aum
157,pred.in.interval,0.0001948,aum
157,pred.in.interval,0.00017508,aum
157,pred.in.interval,0.00029636,sort
157,pred.in.interval,0.00023016,sort
157,pred.in.interval,0.00023064,sort
157,pred.in.interval,0.00017816,aum
157,pred.in.interval,0.00023076,sort
157,pred.in.interval,0.0001762,aum
157,pred.in.interval,0.00019684,aum
157,pred.in.interval,0.0002176,squared.hinge.each.example
157,pred.in.interval,0.00024452,squared.hinge.each.example
157,pred.in.interval,0.00018032,aum
157,pred.in.interval,0.00020524,squared.hinge.each.example
157,pred.in.interval,0.0001756,aum
157,pred.in.interval,0.0002516,sort
157,pred.in.interval,0.00022692,sort
157,pred.in.interval,0.00020636,squared.hinge.each.example
157,pred.in.interval,0.00017888,aum
157,pred.in.interval,0.000237,sort
157,pred.in.interval,0.000204,squared.hinge.each.example
157,pred.in.interval,0.0002344,sort
157,pred.in.interval,0.00022796,sort
157,pred.in.interval,0.00022704,sort
157,pred.rnorm,0.00046784,sort
157,pred.rnorm,0.0002624,squared.hinge.each.example
157,pred.rnorm,0.00021888,aum
157,pred.rnorm,0.0002004,squared.hinge.each.example
157,pred.rnorm,0.00017588,aum
157,pred.rnorm,0.00019624,squared.hinge.each.example
157,pred.rnorm,0.00023848,sort
157,pred.rnorm,0.00017888,aum
157,pred.rnorm,0.00019448,aum
157,pred.rnorm,0.0001772,aum
157,pred.rnorm,0.0002068,aum
157,pred.rnorm,0.00021652,squared.hinge.each.example
157,pred.rnorm,0.00023388,sort
157,pred.rnorm,0.00017964,aum
157,pred.rnorm,0.0002228,sort
157,pred.rnorm,0.0002024,squared.hinge.each.example
157,pred.rnorm,0.0001948,squared.hinge.each.example
157,pred.rnorm,0.0002248,sort
157,pred.rnorm,0.0001814,aum
157,pred.rnorm,0.00020436,squared.hinge.each.example
157,pred.rnorm,0.00019624,squared.hinge.each.example
157,pred.rnorm,0.00017804,aum
157,pred.rnorm,0.00019736,aum
157,pred.rnorm,0.00023484,sort
157,pred.rnorm,0.00020184,squared.hinge.each.example
157,pred.rnorm,0.0001962,squared.hinge.each.example
157,pred.rnorm,0.00023136,sort
157,pred.rnorm,0.0002234,sort
157,pred.rnorm,0.00021728,sort
157,pred.rnorm,0.00024292,sort
314,pred.in.interval,0.00068468,sort
314,pred.in.interval,0.00033636,squared.hinge.each.example
314,pred.in.interval,0.00048464,aum
314,pred.in.interval,0.00040636,sort
314,pred.in.interval,0.00034256,sort
314,pred.in.interval,0.00026272,squared.hinge.each.example
314,pred.in.interval,0.00037228,aum
314,pred.in.interval,0.00024108,squared.hinge.each.example
314,pred.in.interval,0.00023272,squared.hinge.each.example
314,pred.in.interval,0.00036008,sort
314,pred.in.interval,0.00037388,aum
314,pred.in.interval,0.00034744,sort
314,pred.in.interval,0.00036636,aum
314,pred.in.interval,0.00024788,squared.hinge.each.example
314,pred.in.interval,0.00039468,aum
314,pred.in.interval,0.0002408,squared.hinge.each.example
314,pred.in.interval,0.00024056,squared.hinge.each.example
314,pred.in.interval,0.00037168,sort
314,pred.in.interval,0.00036992,aum
314,pred.in.interval,0.0004146,aum
314,pred.in.interval,0.0004034,aum
314,pred.in.interval,0.00025584,squared.hinge.each.example
314,pred.in.interval,0.00023832,squared.hinge.each.example
314,pred.in.interval,0.00023792,squared.hinge.each.example
314,pred.in.interval,0.00037264,aum
314,pred.in.interval,0.00037508,sort
314,pred.in.interval,0.00035264,sort
314,pred.in.interval,0.00037648,sort
314,pred.in.interval,0.00035092,sort
314,pred.in.interval,0.00038608,aum
314,pred.rnorm,0.00059084,aum
314,pred.rnorm,0.00033668,squared.hinge.each.example
314,pred.rnorm,0.00022412,squared.hinge.each.example
314,pred.rnorm,0.00044512,sort
314,pred.rnorm,0.00037088,sort
314,pred.rnorm,0.00024828,squared.hinge.each.example
314,pred.rnorm,0.00025052,squared.hinge.each.example
314,pred.rnorm,0.00041248,sort
314,pred.rnorm,0.0004196,aum
314,pred.rnorm,0.00042928,aum
314,pred.rnorm,0.00036796,aum
314,pred.rnorm,0.00039964,sort
314,pred.rnorm,0.00036396,sort
314,pred.rnorm,0.00026356,squared.hinge.each.example
314,pred.rnorm,0.00022244,squared.hinge.each.example
314,pred.rnorm,0.00037856,aum
314,pred.rnorm,0.00041384,aum
314,pred.rnorm,0.00038396,sort
314,pred.rnorm,0.00036548,aum
314,pred.rnorm,0.00036588,sort
314,pred.rnorm,0.00038652,sort
314,pred.rnorm,0.00036636,aum
314,pred.rnorm,0.00041348,aum
314,pred.rnorm,0.00025828,squared.hinge.each.example
314,pred.rnorm,0.000375,sort
314,pred.rnorm,0.00037184,aum
314,pred.rnorm,0.00024524,squared.hinge.each.example
314,pred.rnorm,0.00023304,squared.hinge.each.example
314,pred.rnorm,0.00022924,squared.hinge.each.example
314,pred.rnorm,0.00038288,sort
626,pred.in.interval,0.00093584,aum
626,pred.in.interval,0.00077884,aum
626,pred.in.interval,0.00064732,sort
626,pred.in.interval,0.00068756,aum
626,pred.in.interval,0.00036424,squared.hinge.each.example
626,pred.in.interval,0.0007176,aum
626,pred.in.interval,0.00059616,sort
626,pred.in.interval,0.00031964,squared.hinge.each.example
626,pred.in.interval,0.00070752,aum
626,pred.in.interval,0.00054768,sort
626,pred.in.interval,0.00052396,sort
626,pred.in.interval,0.0003156,squared.hinge.each.example
626,pred.in.interval,0.00054308,sort
626,pred.in.interval,0.00031016,squared.hinge.each.example
626,pred.in.interval,0.00055936,sort
626,pred.in.interval,0.0005338,sort
626,pred.in.interval,0.00031368,squared.hinge.each.example
626,pred.in.interval,0.00075608,aum
626,pred.in.interval,0.00031676,squared.hinge.each.example
626,pred.in.interval,0.0005528,sort
626,pred.in.interval,0.00053644,sort
626,pred.in.interval,0.0003206,squared.hinge.each.example
626,pred.in.interval,0.0007638,aum
626,pred.in.interval,0.00032108,squared.hinge.each.example
626,pred.in.interval,0.00031216,squared.hinge.each.example
626,pred.in.interval,0.00055736,sort
626,pred.in.interval,0.00032376,squared.hinge.each.example
626,pred.in.interval,0.00074396,aum
626,pred.in.interval,0.00080072,aum
626,pred.in.interval,0.00083292,aum
626,pred.rnorm,0.00053192,squared.hinge.each.example
626,pred.rnorm,0.00068236,sort
626,pred.rnorm,0.00031036,squared.hinge.each.example
626,pred.rnorm,0.00060692,sort
626,pred.rnorm,0.00075536,aum
626,pred.rnorm,0.00080088,aum
626,pred.rnorm,0.00062652,sort
626,pred.rnorm,0.00060256,sort
626,pred.rnorm,0.0003434,squared.hinge.each.example
626,pred.rnorm,0.00028244,squared.hinge.each.example
626,pred.rnorm,0.0007328,aum
626,pred.rnorm,0.00062888,sort
626,pred.rnorm,0.00060276,sort
626,pred.rnorm,0.00030024,squared.hinge.each.example
626,pred.rnorm,0.00060916,sort
626,pred.rnorm,0.00029084,squared.hinge.each.example
626,pred.rnorm,0.00063328,sort
626,pred.rnorm,0.00061532,sort
626,pred.rnorm,0.00074316,aum
626,pred.rnorm,0.00080796,aum
626,pred.rnorm,0.00031416,squared.hinge.each.example
626,pred.rnorm,0.0002972,squared.hinge.each.example
626,pred.rnorm,0.00073216,aum
626,pred.rnorm,0.00084092,aum
626,pred.rnorm,0.00031524,squared.hinge.each.example
626,pred.rnorm,0.00073004,aum
626,pred.rnorm,0.00030708,squared.hinge.each.example
626,pred.rnorm,0.00066716,sort
626,pred.rnorm,0.00073156,aum
626,pred.rnorm,0.0008102,aum
1248,pred.in.interval,0.0007006,squared.hinge.each.example
1248,pred.in.interval,0.00138636,aum
1248,pred.in.interval,0.00088884,sort
1248,pred.in.interval,0.00081072,sort
1248,pred.in.interval,0.0005044,squared.hinge.each.example
1248,pred.in.interval,0.0013658,aum
1248,pred.in.interval,0.00044744,squared.hinge.each.example
1248,pred.in.interval,0.00085712,sort
1248,pred.in.interval,0.00081356,sort
1248,pred.in.interval,0.00140896,aum
1248,pred.in.interval,0.00150164,aum
1248,pred.in.interval,0.00085076,sort
1248,pred.in.interval,0.0008328,sort
1248,pred.in.interval,0.00134912,aum
1248,pred.in.interval,0.00051236,squared.hinge.each.example
1248,pred.in.interval,0.00135712,aum
1248,pred.in.interval,0.00048068,squared.hinge.each.example
1248,pred.in.interval,0.00142328,aum
1248,pred.in.interval,0.00088628,sort
1248,pred.in.interval,0.00047932,squared.hinge.each.example
1248,pred.in.interval,0.00140964,aum
1248,pred.in.interval,0.00047548,squared.hinge.each.example
1248,pred.in.interval,0.00085676,sort
1248,pred.in.interval,0.00081564,sort
1248,pred.in.interval,0.00139328,aum
1248,pred.in.interval,0.0005248,squared.hinge.each.example
1248,pred.in.interval,0.00084904,sort
1248,pred.in.interval,0.00046988,squared.hinge.each.example
1248,pred.in.interval,0.00138804,aum
1248,pred.in.interval,0.00046096,squared.hinge.each.example
1248,pred.rnorm,0.00065568,squared.hinge.each.example
1248,pred.rnorm,0.00039308,squared.hinge.each.example
1248,pred.rnorm,0.00100536,sort
1248,pred.rnorm,0.00143108,aum
1248,pred.rnorm,0.00093032,sort
1248,pred.rnorm,0.00043112,squared.hinge.each.example
1248,pred.rnorm,0.00040488,squared.hinge.each.example
1248,pred.rnorm,0.00040948,squared.hinge.each.example
1248,pred.rnorm,0.00045528,squared.hinge.each.example
1248,pred.rnorm,0.00145248,aum
1248,pred.rnorm,0.00098372,sort
1248,pred.rnorm,0.00139004,aum
1248,pred.rnorm,0.000493,squared.hinge.each.example
1248,pred.rnorm,0.00138328,aum
1248,pred.rnorm,0.00096176,sort
1248,pred.rnorm,0.00045012,squared.hinge.each.example
1248,pred.rnorm,0.00143328,aum
1248,pred.rnorm,0.00153948,aum
1248,pred.rnorm,0.00046772,squared.hinge.each.example
1248,pred.rnorm,0.0009644,sort
1248,pred.rnorm,0.00048948,squared.hinge.each.example
1248,pred.rnorm,0.00140328,aum
1248,pred.rnorm,0.00094092,sort
1248,pred.rnorm,0.00137992,aum
1248,pred.rnorm,0.00095,sort
1248,pred.rnorm,0.00090296,sort
1248,pred.rnorm,0.00137332,aum
1248,pred.rnorm,0.0009184,sort
1248,pred.rnorm,0.0014018,aum
1248,pred.rnorm,0.0009168,sort
2488,pred.in.interval,0.00270628,aum
2488,pred.in.interval,0.00076132,squared.hinge.each.example
2488,pred.in.interval,0.001398,sort
2488,pred.in.interval,0.00069456,squared.hinge.each.example
2488,pred.in.interval,0.00139976,sort
2488,pred.in.interval,0.00133664,sort
2488,pred.in.interval,0.00260348,aum
2488,pred.in.interval,0.00137244,sort
2488,pred.in.interval,0.00257048,aum
2488,pred.in.interval,0.0013624,sort
2488,pred.in.interval,0.00263424,aum
2488,pred.in.interval,0.00080076,squared.hinge.each.example
2488,pred.in.interval,0.0025562,aum
2488,pred.in.interval,0.00082272,squared.hinge.each.example
2488,pred.in.interval,0.00256504,aum
2488,pred.in.interval,0.0014968,sort
2488,pred.in.interval,0.00134548,sort
2488,pred.in.interval,0.000755,squared.hinge.each.example
2488,pred.in.interval,0.0007108,squared.hinge.each.example
2488,pred.in.interval,0.00143932,sort
2488,pred.in.interval,0.00260556,aum
2488,pred.in.interval,0.00138912,sort
2488,pred.in.interval,0.00075356,squared.hinge.each.example
2488,pred.in.interval,0.00071648,squared.hinge.each.example
2488,pred.in.interval,0.00072584,squared.hinge.each.example
2488,pred.in.interval,0.002721,aum
2488,pred.in.interval,0.00281612,aum
2488,pred.in.interval,0.00144096,sort
2488,pred.in.interval,0.00252744,aum
2488,pred.in.interval,0.00078468,squared.hinge.each.example
2488,pred.rnorm,0.00268928,aum
2488,pred.rnorm,0.00074952,squared.hinge.each.example
2488,pred.rnorm,0.00154568,sort
2488,pred.rnorm,0.00067768,squared.hinge.each.example
2488,pred.rnorm,0.00267524,aum
2488,pred.rnorm,0.00153884,sort
2488,pred.rnorm,0.00145652,sort
2488,pred.rnorm,0.00258696,aum
2488,pred.rnorm,0.00150572,sort
2488,pred.rnorm,0.0025544,aum
2488,pred.rnorm,0.00288468,aum
2488,pred.rnorm,0.0015278,sort
2488,pred.rnorm,0.0014526,sort
2488,pred.rnorm,0.0007474,squared.hinge.each.example
2488,pred.rnorm,0.00069604,squared.hinge.each.example
2488,pred.rnorm,0.00156056,sort
2488,pred.rnorm,0.0007344,squared.hinge.each.example
2488,pred.rnorm,0.00264052,aum
2488,pred.rnorm,0.00077916,squared.hinge.each.example
2488,pred.rnorm,0.00067412,squared.hinge.each.example
2488,pred.rnorm,0.00067784,squared.hinge.each.example
2488,pred.rnorm,0.00292932,aum
2488,pred.rnorm,0.00074008,squared.hinge.each.example
2488,pred.rnorm,0.00155972,sort
2488,pred.rnorm,0.00147276,sort
2488,pred.rnorm,0.00142588,sort
2488,pred.rnorm,0.0007562,squared.hinge.each.example
2488,pred.rnorm,0.00267508,aum
2488,pred.rnorm,0.0028064,aum
2488,pred.rnorm,0.0029066,aum
4958,pred.in.interval,0.00314644,sort
4958,pred.in.interval,0.00289304,sort
4958,pred.in.interval,0.001245,squared.hinge.each.example
4958,pred.in.interval,0.0012884,squared.hinge.each.example
4958,pred.in.interval,0.00143488,squared.hinge.each.example
4958,pred.in.interval,0.00301784,sort
4958,pred.in.interval,0.00288676,sort
4958,pred.in.interval,0.00625288,aum
4958,pred.in.interval,0.00297528,sort
4958,pred.in.interval,0.00134624,squared.hinge.each.example
4958,pred.in.interval,0.00635828,aum
4958,pred.in.interval,0.00739508,aum
4958,pred.in.interval,0.00681152,aum
4958,pred.in.interval,0.00142292,squared.hinge.each.example
4958,pred.in.interval,0.00622476,aum
4958,pred.in.interval,0.00304432,sort
4958,pred.in.interval,0.00608772,aum
4958,pred.in.interval,0.00300548,sort
4958,pred.in.interval,0.00289624,sort
4958,pred.in.interval,0.00133724,squared.hinge.each.example
4958,pred.in.interval,0.00133684,squared.hinge.each.example
4958,pred.in.interval,0.003027,sort
4958,pred.in.interval,0.00135872,squared.hinge.each.example
4958,pred.in.interval,0.00631332,aum
4958,pred.in.interval,0.00681228,aum
4958,pred.in.interval,0.00136776,squared.hinge.each.example
4958,pred.in.interval,0.00130832,squared.hinge.each.example
4958,pred.in.interval,0.00634384,aum
4958,pred.in.interval,0.00300584,sort
4958,pred.in.interval,0.0067392,aum
4958,pred.rnorm,0.00329968,sort
4958,pred.rnorm,0.00307328,sort
4958,pred.rnorm,0.00116848,squared.hinge.each.example
4958,pred.rnorm,0.00122704,squared.hinge.each.example
4958,pred.rnorm,0.00639676,aum
4958,pred.rnorm,0.00130056,squared.hinge.each.example
4958,pred.rnorm,0.00697804,aum
4958,pred.rnorm,0.00128,squared.hinge.each.example
4958,pred.rnorm,0.00320848,sort
4958,pred.rnorm,0.00305464,sort
4958,pred.rnorm,0.00619096,aum
4958,pred.rnorm,0.00673032,aum
4958,pred.rnorm,0.00126456,squared.hinge.each.example
4958,pred.rnorm,0.0063312,aum
4958,pred.rnorm,0.00130904,squared.hinge.each.example
4958,pred.rnorm,0.00123356,squared.hinge.each.example
4958,pred.rnorm,0.00124584,squared.hinge.each.example
4958,pred.rnorm,0.00321612,sort
4958,pred.rnorm,0.0012936,squared.hinge.each.example
4958,pred.rnorm,0.00325268,sort
4958,pred.rnorm,0.00643796,aum
4958,pred.rnorm,0.00670056,aum
4958,pred.rnorm,0.00685712,aum
4958,pred.rnorm,0.00319088,sort
4958,pred.rnorm,0.006739,aum
4958,pred.rnorm,0.00316468,sort
4958,pred.rnorm,0.00121128,squared.hinge.each.example
4958,pred.rnorm,0.00646616,aum
4958,pred.rnorm,0.00313612,sort
4958,pred.rnorm,0.00302792,sort
