N,pred.type,seconds,algorithm
10,pred.in.interval,0.0003244,squared.hinge.each.example
10,pred.in.interval,0.00020464,sort
10,pred.in.interval,0.00016664,squared.hinge.each.example
10,pred.in.interval,0.00013856,sort
10,pred.in.interval,0.00019864,squared.hinge.each.example
10,pred.in.interval,0.00015532,squared.hinge.each.example
10,pred.in.interval,0.00029536,aum
10,pred.in.interval,0.00014896,sort
10,pred.in.interval,0.00016192,squared.hinge.each.example
10,pred.in.interval,0.00013212,sort
10,pred.in.interval,0.000158,squared.hinge.each.example
10,pred.in.interval,0.0001546,squared.hinge.each.example
10,pred.in.interval,0.00013348,sort
10,pred.in.interval,0.00015956,squared.hinge.each.example
10,pred.in.interval,4.644e-05,aum
10,pred.in.interval,3.896e-05,aum
10,pred.in.interval,3.536e-05,aum
10,pred.in.interval,3.5e-05,aum
10,pred.in.interval,0.00013648,sort
10,pred.in.interval,4.124e-05,aum
10,pred.in.interval,3.64e-05,aum
10,pred.in.interval,0.00013448,sort
10,pred.in.interval,0.00012972,sort
10,pred.in.interval,4.1e-05,aum
10,pred.in.interval,0.000165,squared.hinge.each.example
10,pred.in.interval,4.148e-05,aum
10,pred.in.interval,3.804e-05,aum
10,pred.in.interval,0.00013928,sort
10,pred.in.interval,0.00016128,squared.hinge.each.example
10,pred.in.interval,0.00013396,sort
10,pred.rnorm,0.00029988,sort
10,pred.rnorm,0.00027484,squared.hinge.each.example
10,pred.rnorm,0.00015596,squared.hinge.each.example
10,pred.rnorm,0.00013692,sort
10,pred.rnorm,0.00015752,squared.hinge.each.example
10,pred.rnorm,0.0001072,aum
10,pred.rnorm,3.648e-05,aum
10,pred.rnorm,0.00014024,sort
10,pred.rnorm,0.00016072,squared.hinge.each.example
10,pred.rnorm,4.14e-05,aum
10,pred.rnorm,0.00013652,sort
10,pred.rnorm,3.984e-05,aum
10,pred.rnorm,0.0001314,sort
10,pred.rnorm,0.0001582,squared.hinge.each.example
10,pred.rnorm,0.00015344,squared.hinge.each.example
10,pred.rnorm,4.292e-05,aum
10,pred.rnorm,0.00015584,squared.hinge.each.example
10,pred.rnorm,0.00015404,squared.hinge.each.example
10,pred.rnorm,0.00013724,sort
10,pred.rnorm,4.136e-05,aum
10,pred.rnorm,3.692e-05,aum
10,pred.rnorm,0.00013408,sort
10,pred.rnorm,0.00013036,sort
10,pred.rnorm,0.00016136,squared.hinge.each.example
10,pred.rnorm,4.28e-05,aum
10,pred.rnorm,3.728e-05,aum
10,pred.rnorm,0.0001382,sort
10,pred.rnorm,0.0001316,sort
10,pred.rnorm,0.0001622,squared.hinge.each.example
10,pred.rnorm,4.264e-05,aum
19,pred.in.interval,0.00029976,sort
19,pred.in.interval,0.00023476,squared.hinge.each.example
19,pred.in.interval,9.152e-05,aum
19,pred.in.interval,8.364e-05,aum
19,pred.in.interval,0.0001698,squared.hinge.each.example
19,pred.in.interval,0.0001632,squared.hinge.each.example
19,pred.in.interval,4.812e-05,aum
19,pred.in.interval,0.0001648,squared.hinge.each.example
19,pred.in.interval,0.00016404,squared.hinge.each.example
19,pred.in.interval,4.696e-05,aum
19,pred.in.interval,0.0001524,sort
19,pred.in.interval,0.0001712,squared.hinge.each.example
19,pred.in.interval,6.96e-05,aum
19,pred.in.interval,0.0001696,squared.hinge.each.example
19,pred.in.interval,4.744e-05,aum
19,pred.in.interval,0.00014228,sort
19,pred.in.interval,0.00013392,sort
19,pred.in.interval,0.00017252,squared.hinge.each.example
19,pred.in.interval,0.00016464,squared.hinge.each.example
19,pred.in.interval,4.904e-05,aum
19,pred.in.interval,0.0001386,sort
19,pred.in.interval,4.684e-05,aum
19,pred.in.interval,4.58e-05,aum
19,pred.in.interval,4.22e-05,aum
19,pred.in.interval,0.00013812,sort
19,pred.in.interval,0.00013392,sort
19,pred.in.interval,0.00017456,squared.hinge.each.example
19,pred.in.interval,0.0001396,sort
19,pred.in.interval,0.0001344,sort
19,pred.in.interval,0.00013316,sort
19,pred.rnorm,0.00030308,sort
19,pred.rnorm,0.00013876,sort
19,pred.rnorm,0.00029272,squared.hinge.each.example
19,pred.rnorm,0.00014228,sort
19,pred.rnorm,0.00016464,squared.hinge.each.example
19,pred.rnorm,0.00016144,squared.hinge.each.example
19,pred.rnorm,0.00013988,sort
19,pred.rnorm,0.00013492,sort
19,pred.rnorm,0.00016464,squared.hinge.each.example
19,pred.rnorm,8.324e-05,aum
19,pred.rnorm,0.000168,squared.hinge.each.example
19,pred.rnorm,4.636e-05,aum
19,pred.rnorm,4.54e-05,aum
19,pred.rnorm,0.00014616,sort
19,pred.rnorm,0.00017028,squared.hinge.each.example
19,pred.rnorm,4.832e-05,aum
19,pred.rnorm,0.00019504,squared.hinge.each.example
19,pred.rnorm,4.72e-05,aum
19,pred.rnorm,4.436e-05,aum
19,pred.rnorm,0.00014676,sort
19,pred.rnorm,4.592e-05,aum
19,pred.rnorm,4.452e-05,aum
19,pred.rnorm,4.14e-05,aum
19,pred.rnorm,0.00014016,sort
19,pred.rnorm,4.888e-05,aum
19,pred.rnorm,0.00017548,squared.hinge.each.example
19,pred.rnorm,0.00014288,sort
