data.name,cv.type,test.fold,gradient,seed,init.name,algo,objective,max.auc,steps
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,grid,auc,0.855098509052183,8
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,grid,aum,0.856306720840858,128
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,exact,auc,0.846761124230217,3
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,exact,aum,0.856690165300736,270
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,hybrid,auc,0.855098509052183,8
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,hybrid,aum,0.857138722970783,70
ATAC_JV_adipose,equal_labels,1,count,1,zero,grid,auc,0.846476073065704,15
ATAC_JV_adipose,equal_labels,1,count,1,zero,grid,aum,0.853039484650646,183
ATAC_JV_adipose,equal_labels,1,count,1,zero,exact,auc,0.843175556790295,105
ATAC_JV_adipose,equal_labels,1,count,1,zero,exact,aum,0.852608290503311,477
ATAC_JV_adipose,equal_labels,1,count,1,zero,hybrid,auc,0.848543779228597,28
ATAC_JV_adipose,equal_labels,1,count,1,zero,hybrid,aum,0.853343346298097,234
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,grid,auc,0.855098509052183,8
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,grid,aum,0.856306720840858,128
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,exact,auc,0.846761124230217,3
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,exact,aum,0.856690165300736,270
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,hybrid,auc,0.855098509052183,8
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,hybrid,aum,0.857138722970783,70
ATAC_JV_adipose,equal_labels,1,count,2,zero,grid,auc,0.845499374913182,23
ATAC_JV_adipose,equal_labels,1,count,2,zero,grid,aum,0.853609586979673,133
ATAC_JV_adipose,equal_labels,1,count,2,zero,exact,auc,0.837250254665,248
ATAC_JV_adipose,equal_labels,1,count,2,zero,exact,aum,0.853800585729499,463
ATAC_JV_adipose,equal_labels,1,count,2,zero,hybrid,auc,0.846891350650553,30
ATAC_JV_adipose,equal_labels,1,count,2,zero,hybrid,aum,0.85460220169468,127
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,grid,auc,0.855098509052183,8
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,grid,aum,0.856306720840858,128
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,exact,auc,0.846761124230217,3
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,exact,aum,0.856690165300736,270
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,hybrid,auc,0.855098509052183,8
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,hybrid,aum,0.857138722970783,70
ATAC_JV_adipose,equal_labels,1,count,3,zero,grid,auc,0.84471656943094,28
ATAC_JV_adipose,equal_labels,1,count,3,zero,grid,aum,0.854673102745752,280
ATAC_JV_adipose,equal_labels,1,count,3,zero,exact,auc,0.834534310320878,139
ATAC_JV_adipose,equal_labels,1,count,3,zero,exact,aum,0.854544323285642,551
ATAC_JV_adipose,equal_labels,1,count,3,zero,hybrid,auc,0.843894696022596,21
ATAC_JV_adipose,equal_labels,1,count,3,zero,hybrid,aum,0.85439094550169,175
ATAC_JV_adipose,equal_labels,1,count,4,IntervalRegressionCV,grid,auc,0.855098509052183,8
