data.name,cv.type,test.fold,gradient,seed,init.name,algo,objective,exact,grid,step.number,step.prop,valid.auc
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,grid,auc,0,6,6,0.857142857142857,0.855098509052183
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,grid,aum,0,37,37,0.291338582677165,0.856306720840858
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,exact,auc,1,0,1,0.5,0.846761124230217
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,exact,aum,205,0,205,0.762081784386617,0.856690165300736
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,hybrid,auc,0,6,6,0.857142857142857,0.855098509052183
ATAC_JV_adipose,equal_labels,1,count,1,IntervalRegressionCV,hybrid,aum,17,40,57,0.826086956521739,0.857138722970783
ATAC_JV_adipose,equal_labels,1,count,1,zero,grid,auc,0,13,13,0.928571428571429,0.846476073065704
ATAC_JV_adipose,equal_labels,1,count,1,zero,grid,aum,0,165,165,0.906593406593407,0.853039484650646
ATAC_JV_adipose,equal_labels,1,count,1,zero,exact,auc,103,0,103,0.990384615384615,0.843175556790295
ATAC_JV_adipose,equal_labels,1,count,1,zero,exact,aum,444,0,444,0.932773109243698,0.852608290503311
ATAC_JV_adipose,equal_labels,1,count,1,zero,hybrid,auc,0,24,24,0.888888888888889,0.848543779228597
ATAC_JV_adipose,equal_labels,1,count,1,zero,hybrid,aum,75,81,156,0.669527896995708,0.853343346298097
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,grid,auc,0,6,6,0.857142857142857,0.855098509052183
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,grid,aum,0,37,37,0.291338582677165,0.856306720840858
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,exact,auc,1,0,1,0.5,0.846761124230217
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,exact,aum,205,0,205,0.762081784386617,0.856690165300736
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,hybrid,auc,0,6,6,0.857142857142857,0.855098509052183
ATAC_JV_adipose,equal_labels,1,count,2,IntervalRegressionCV,hybrid,aum,17,40,57,0.826086956521739,0.857138722970783
ATAC_JV_adipose,equal_labels,1,count,2,zero,grid,auc,0,21,21,0.954545454545455,0.845499374913182
ATAC_JV_adipose,equal_labels,1,count,2,zero,grid,aum,0,126,126,0.954545454545455,0.853609586979673
ATAC_JV_adipose,equal_labels,1,count,2,zero,exact,auc,245,0,245,0.991902834008097,0.837250254665
ATAC_JV_adipose,equal_labels,1,count,2,zero,exact,aum,458,0,458,0.991341991341991,0.853800585729499
ATAC_JV_adipose,equal_labels,1,count,2,zero,hybrid,auc,0,28,28,0.96551724137931,0.846891350650553
ATAC_JV_adipose,equal_labels,1,count,2,zero,hybrid,aum,48,58,106,0.841269841269841,0.85460220169468
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,grid,auc,0,6,6,0.857142857142857,0.855098509052183
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,grid,aum,0,37,37,0.291338582677165,0.856306720840858
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,exact,auc,1,0,1,0.5,0.846761124230217
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,exact,aum,205,0,205,0.762081784386617,0.856690165300736
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,hybrid,auc,0,6,6,0.857142857142857,0.855098509052183
ATAC_JV_adipose,equal_labels,1,count,3,IntervalRegressionCV,hybrid,aum,17,40,57,0.826086956521739,0.857138722970783
ATAC_JV_adipose,equal_labels,1,count,3,zero,grid,auc,0,25,25,0.925925925925926,0.84471656943094
ATAC_JV_adipose,equal_labels,1,count,3,zero,grid,aum,0,260,260,0.931899641577061,0.854673102745752
ATAC_JV_adipose,equal_labels,1,count,3,zero,exact,auc,137,0,137,0.992753623188406,0.834534310320878
ATAC_JV_adipose,equal_labels,1,count,3,zero,exact,aum,549,0,549,0.998181818181818,0.854544323285642
ATAC_JV_adipose,equal_labels,1,count,3,zero,hybrid,auc,0,19,19,0.95,0.843894696022596
ATAC_JV_adipose,equal_labels,1,count,3,zero,hybrid,aum,57,114,171,0.982758620689655,0.85439094550169
ATAC_JV_adipose,equal_labels,1,count,4,IntervalRegressionCV,grid,auc,0,6,6,0.857142857142857,0.855098509052183
ATAC_JV_adipose,equal_labels,1,count,4,IntervalRegressionCV,grid,aum,0,37,37,0.291338582677165,0.856306720840858
ATAC_JV_adipose,equal_labels,1,count,4,IntervalRegressionCV,exact,auc,1,0,1,0.5,0.846761124230217
ATAC_JV_adipose,equal_labels,1,count,4,IntervalRegressionCV,exact,aum,205,0,205,0.762081784386617,0.856690165300736
ATAC_JV_adipose,equal_labels,1,count,4,IntervalRegressionCV,hybrid,auc,0,6,6,0.857142857142857,0.855098509052183
ATAC_JV_adipose,equal_labels,1,count,4,IntervalRegressionCV,hybrid,aum,17,40,57,0.826086956521739,0.857138722970783
ATAC_JV_adipose,equal_labels,1,count,4,zero,grid,auc,0,20,20,0.869565217391304,0.856018775755892
ATAC_JV_adipose,equal_labels,1,count,4,zero,grid,aum,0,61,61,0.516949152542373,0.858346934759457
ATAC_JV_adipose,equal_labels,1,count,4,zero,exact,auc,297,0,297,1,0.856360258369218
ATAC_JV_adipose,equal_labels,1,count,4,zero,exact,aum,415,0,415,0.949656750572082,0.85867539473075
ATAC_JV_adipose,equal_labels,1,count,4,zero,hybrid,auc,0,20,20,0.909090909090909,0.856128744733065
ATAC_JV_adipose,equal_labels,1,count,4,zero,hybrid,aum,10,42,52,0.604651162790698,0.858549509191091
