pred.i,pos,neg,AUM,AUC,AUM.margin,pairwise..,pairwise.hinge.loss_pred.prob,pairwise.hinge.loss_pred.real,pairwise.squared.hinge_pred.prob,pairwise.squared.hinge_pred.real,01.loss,logistic.loss,hinge.loss,squared.hinge
1,-3,-3,0,0.5,2,.,1,1,1,1,1,3.09717470314748,4,16
2,-2.75,-3,0,1,1.75,.,0.987339223003559,0.75,0.974838741281272,0.5625,1,2.86055494057694,3.75,14.0625
3,-2.5,-3,0,1,1.5,.,0.971567693156323,0.5,0.943943782385099,0.25,1,2.62747708586629,3.5,12.25
4,-2.25,-3,0,1,1.25,.,0.952076408278457,0.25,0.906449487200408,0.0625,1,2.39879391049049,3.25,10.5625
5,-2,-3,0,1,1,.,0.928222951155449,0,0.861597847051731,0,1,2.17551536261671,3,9
6,-1.75,-3,0,1,0.75,.,0.899378675145877,0,0.808882001307154,0,1,1.95881150201183,2.75,7.5625
7,-1.5,-3,0,1,0.5,.,0.86500034937121,0,0.748225604412316,0,1,1.75000062955649,2.5,6.25
8,-1.25,-3,0,1,0.25,.,0.824725734352258,0,0.680172536902871,0,1,1.55051643291912,2.25,5.0625
9,-1,-3,0,1,0,.,0.778484451807572,0,0.606038041706135,0,1,1.36184903909196,2,4
10,-0.75,-3,0,1,0,.,0.72660457235296,0,0.527954204564228,0,1,1.18545835768864,1.75,3.0625
11,-0.5,-3,0,1,0,.,0.669885204379422,0,0.448746187046459,0,1,1.02266433575385,1.5,2.25
12,-0.25,-3,0,1,0,.,0.609602374063365,0,0.371615054463691,0,1,0.874526771452586,1.25,1.5625
13,0,-3,0,1,0,.,0.547425873177567,0,0.299675086624221,0,1,0.741734532133687,1,1
14,0.25,-3,0,1,0,.,0.485249372291769,0,0.235466953309556,0,0,0.624526771452586,0.75,0.5625
15,0.5,-3,0,1,0,.,0.424966541975712,0,0.180596561798795,0,0,0.522664335753849,0.5,0.25
16,0.75,-3,0,1,0,.,0.368247174002174,0,0.135605981160587,0,0,0.435458357688642,0.25,0.0625
17,1,-3,0,1,0,.,0.316367294547562,0,0.100088265059344,0,0,0.361849039091965,0,0
18,1.25,-3,0,1,0,.,0.270126012002876,0,0.0729680623605777,0,0,0.300516432919115,0,0
19,1.5,-3,0,1,0,.,0.229851396983923,0,0.052831664695461,0,0,0.250000629556494,0,0
20,1.75,-3,0,1,0,.,0.195473071209256,0,0.0382097215679789,0,0,0.208811502011829,0,0
21,2,-3,0,1,0,.,0.166628795199684,0,0.0277651553896984,0,0,0.175515362616715,0,0
22,2.25,-3,0,1,0,.,0.142775338076676,0,0.0203847971629092,0,0,0.148793910490489,0,0
23,2.5,-3,0,1,0,.,0.12328405319881,0,0.0151989577731271,0,0,0.127477085866292,0,0
24,2.75,-3,0,1,0,.,0.107512523351574,0,0.0115589426774228,0,0,0.110554940576941,0,0
25,3,-3,0,1,0,.,0.0948517463551334,0,0.00899685378661856,0,0,0.0971747031474839,0,0
26,-3,-2.75,0.25,0,2.25,.,1.01266077699644,1.25,1.02548184926704,1.5625,1,3.11055494057694,4,16
27,-2.75,-2.75,0,0.5,2,.,1,1,1,1,1,2.8739351780064,3.75,14.0625
28,-2.5,-2.75,0,1,1.75,.,0.984228470152764,0.75,0.96870568145925,0.5625,1,2.64085732329575,3.5,12.25
29,-2.25,-2.75,0,1,1.5,.,0.964737185274898,0.5,0.930717836652133,0.25,1,2.41217414791995,3.25,10.5625
30,-2,-2.75,0,1,1.25,.,0.94088372815189,0.25,0.885262189901,0.0625,1,2.18889560004617,3,9
31,-1.75,-2.75,0,1,1,.,0.912039452142318,0,0.83181596226406,0,1,1.97219173944129,2.75,7.5625
32,-1.5,-2.75,0,1,0.75,.,0.877661126367651,0,0.770289052736934,0,1,1.76338086698595,2.5,6.25
33,-1.25,-2.75,0,1,0.5,.,0.837386511348699,0,0.701216169388744,0,1,1.56389667034857,2.25,5.0625
34,-1,-2.75,0,1,0.25,.,0.791145228804013,0,0.625910773059353,0,1,1.37522927652142,2,4
35,-0.75,-2.75,0,1,0,.,0.739265349349401,0,0.546513256748691,0,1,1.1988385951181,1.75,3.0625
36,-0.5,-2.75,0,1,0,.,0.682545981375862,0,0.465869016692339,0,1,1.03604457318331,1.5,2.25
37,-0.25,-2.75,0,1,0,.,0.622263151059806,0,0.387211429166879,0,1,0.887907008882042,1.25,1.5625
38,0,-2.75,0,1,0,.,0.560086650174008,0,0.313697055703141,0,1,0.755114769563144,1,1
39,0.25,-2.75,0,1,0,.,0.49791014928821,0,0.247914516764207,0,0,0.637907008882042,0.75,0.5625
40,0.5,-2.75,0,1,0,.,0.437627318972153,0,0.191517670310755,0,0,0.536044573183305,0.5,0.25
41,0.75,-2.75,0,1,0,.,0.380907950998615,0,0.145090867133963,0,0,0.448838595118099,0.25,0.0625
42,1,-2.75,0,1,0,.,0.329028071544003,0,0.108259471863965,0,0,0.375229276521421,0,0
43,1.25,-2.75,0,1,0,.,0.282786788999317,0,0.079968368032544,0,0,0.313896670348572,0,0
44,1.5,-2.75,0,1,0,.,0.242512173980364,0,0.0588121545286823,0,0,0.263380866985951,0,0
45,1.75,-2.75,0,1,0,.,0.208133848205697,0,0.0433196987689121,0,0,0.222191739441286,0,0
46,2,-2.75,0,1,0,.,0.179289572196125,0,0.0321447506982696,0,0,0.188895600046171,0,0
47,2.25,-2.75,0,1,0,.,0.155436115073117,0,0.0241603858690233,0,0,0.162174147919946,0,0
48,2.5,-2.75,0,1,0,.,0.135944830195251,0,0.0184809968568156,0,0,0.140857323295748,0,0
49,2.75,-2.75,0,1,0,.,0.120173300348015,0,0.0144416221165343,0,0,0.123935178006397,0,0
50,3,-2.75,0,1,0,.,0.107512523351574,0,0.0115589426774228,0,0,0.110554940576941,0,0
51,-3,-2.5,0.5,0,2.5,.,1.02843230684368,1.5,1.05767300975981,2.25,1,3.12747708586629,4,16
52,-2.75,-2.5,0.25,0,2.25,.,1.01577152984724,1.25,1.03179180084819,1.5625,1,2.89085732329575,3.75,14.0625
53,-2.5,-2.5,0,0.5,2,.,1,1,1,1,1,2.6577794685851,3.5,12.25
54,-2.25,-2.5,0,1,1.75,.,0.980508715122134,0.75,0.961397340430458,0.5625,1,2.4290962932093,3.25,10.5625
55,-2,-2.5,0,1,1.5,.,0.956655257999126,0.5,0.915189282657374,0.25,1,2.20581774533552,3,9
56,-1.75,-2.5,0,1,1.25,.,0.927810981989554,0.25,0.860833218300421,0.0625,1,1.98911388473064,2.75,7.5625
57,-1.5,-2.5,0,1,1,.,0.893432656214887,0,0.798221911191189,0,1,1.7803030122753,2.5,6.25
58,-1.25,-2.5,0,1,0.75,.,0.853158041195935,0,0.727878643257284,0,1,1.58081881563792,2.25,5.0625
59,-1,-2.5,0,1,0.5,.,0.806916758651249,0,0.651114655392237,0,1,1.39215142181077,2,4
60,-0.75,-2.5,0,1,0.25,.,0.755036879196637,0,0.570080688946996,0,1,1.21576074040745,1.75,3.0625
61,-0.5,-2.5,0,1,0,.,0.698317511223098,0,0.487647346480822,0,1,1.05296671847266,1.5,2.25
62,-0.25,-2.5,0,1,0,.,0.638034680907042,0,0.40708825404015,0,1,0.904829154171393,1.25,1.5625
63,0,-2.5,0,1,0,.,0.575858180021244,0,0.331612643497379,0,1,0.772036914852495,1,1
64,0.25,-2.5,0,1,0,.,0.513681679135446,0,0.263868867479411,0,0,0.654829154171393,0.75,0.5625
65,0.5,-2.5,0,1,0,.,0.453398848819389,0,0.205570516110747,0,0,0.552966718472656,0.5,0.25
66,0.75,-2.5,0,1,0,.,0.396679480845851,0,0.157354610524134,0,0,0.46576074040745,0.25,0.0625
67,1,-2.5,0,1,0,.,0.344799601391239,0,0.118886765119557,0,0,0.392151421810772,0,0
68,1.25,-2.5,0,1,0,.,0.298558318846553,0,0.0891370697524797,0,0,0.330818815637922,0,0
69,1.5,-2.5,0,1,0,.,0.2582837038276,0,0.0667104716629034,0,0,0.280303012275302,0,0
70,1.75,-2.5,0,1,0,.,0.223905378052933,0,0.0501336183210268,0,0,0.239113884730637,0,0
71,2,-2.5,0,1,0,.,0.195061102043361,0,0.0380488335303706,0,0,0.205817745335522,0,0
72,2.25,-2.5,0,1,0,.,0.171207644920353,0,0.0293120576791737,0,0,0.179096293209297,0,0
73,2.5,-2.5,0,1,0,.,0.151716360042487,0,0.0230178539045415,0,0,0.157779468585099,0,0
74,2.75,-2.5,0,1,0,.,0.135944830195251,0,0.0184809968568157,0,0,0.140857323295748,0,0
75,3,-2.5,0,1,0,.,0.12328405319881,0,0.0151989577731271,0,0,0.127477085866292,0,0
76,-3,-2.25,0.75,0,2.75,.,1.04792359172154,1.75,1.09814385408658,3.0625,1,3.14879391049049,4,16
77,-2.75,-2.25,0.5,0,2.5,.,1.0352628147251,1.5,1.07176909555254,2.25,1,2.91217414791995,3.75,14.0625
