pred.i,pos,neg,AUM,AUC,AUM.margin,pairwise..,pairwise.hinge.loss_pred.prob,pairwise.hinge.loss_pred.real,pairwise.squared.hinge_pred.prob,pairwise.squared.hinge_pred.real,01.loss,logistic.loss,hinge.loss,squared.hinge
78,-2.5,-2.25,0.25,0,2.25,.,1.01949128487787,1.25,1.03936247994192,1.5625,1,2.6790962932093,3.5,12.25
79,-2.25,-2.25,0,0.5,2,.,1,1,1,1,1,2.45041311783349,3.25,10.5625
80,-2,-2.25,0,1,1.75,.,0.976146542876992,0.75,0.952862073170703,0.5625,1,2.22713456995972,3,9
81,-1.75,-2.25,0,1,1.5,.,0.94730226686742,0.5,0.897381584812153,0.25,1,2.01043070935483,2.75,7.5625
82,-1.5,-2.25,0,1,1.25,.,0.912923941092753,0.25,0.833430122220325,0.0625,1,1.8016198368995,2.5,6.25
83,-1.25,-2.25,0,1,1,.,0.872649326073801,0,0.761516846297058,0,1,1.60213564026212,2.25,5.0625
84,-1,-2.25,0,1,0.75,.,0.826408043529114,0,0.682950254409619,0,1,1.41346824643497,2,4
85,-0.75,-2.25,0,1,0.5,.,0.774528164074503,0,0.59989387694462,0,1,1.23707756503165,1.75,3.0625
86,-0.5,-2.25,0,1,0.25,.,0.717808796100964,0,0.515249467759915,0,1,1.07428354309685,1.5,2.25
87,-0.25,-2.25,0,1,0,.,0.657525965784908,0,0.432340395681375,0,1,0.926145978795591,1.25,1.5625
88,0,-2.25,0,1,0,.,0.59534946489911,0,0.354440985355656,0,1,0.793353739476692,1,1
89,0.25,-2.25,0,1,0,.,0.533172964013311,0,0.28427340955474,0,0,0.676145978795591,0.75,0.5625
90,0.5,-2.25,0,1,0,.,0.472890133697255,0,0.223625078548208,0,0,0.574283543096854,0.5,0.25
91,0.75,-2.25,0,1,0,.,0.416170765723717,0,0.173198106243065,0,0,0.487077565031647,0.25,0.0625
92,1,-2.25,0,1,0,.,0.364290886269105,0,0.13270784981873,0,0,0.41346824643497,0,0
93,1.25,-2.25,0,1,0,.,0.318049603724418,0,0.10115555042926,0,0,0.35213564026212,0,0
94,1.5,-2.25,0,1,0,.,0.277774988705466,0,0.0771589443503217,0,0,0.3016198368995,0,0
95,1.75,-2.25,0,1,0,.,0.243396662930799,0,0.0592419355258489,0,0,0.260430709354834,0,0
96,2,-2.25,0,1,0,.,0.214552386921227,0,0.046032726733596,0,0,0.22713456995972,0,0
97,2.25,-2.25,0,1,0,.,0.190698929798219,0,0.036366081826186,0,0,0.200413117833494,0,0
98,2.5,-2.25,0,1,0,.,0.171207644920353,0,0.0293120576791736,0,0,0.179096293209297,0,0
99,2.75,-2.25,0,1,0,.,0.155436115073117,0,0.0241603858690233,0,0,0.162174147919946,0,0
100,3,-2.25,0,1,0,.,0.142775338076676,0,0.0203847971629092,0,0,0.148793910490489,0,0
101,-3,-2,1,0,3,.,1.07177704884455,2,1.14870604242993,4,1,3.17551536261671,4,16
102,-2.75,-2,0.75,0,2.75,.,1.05911627184811,1.75,1.12172727729344,3.0625,1,2.93889560004617,3.75,14.0625
103,-2.5,-2,0.5,0,2.5,.,1.04334474200087,1.5,1.08856825066087,2.25,1,2.70581774533552,3.5,12.25
104,-2.25,-2,0.25,0,2.25,.,1.02385345712301,1.25,1.04827590166274,1.5625,1,2.47713456995972,3.25,10.5625
105,-2,-2,0,0.5,2,.,1,1,1,1,1,2.25385602208595,3,9
106,-1.75,-2,0,1,1.75,.,0.971155723990428,0.75,0.943143440239372,0.5625,1,2.03715216148106,2.75,7.5625
107,-1.5,-2,0,1,1.5,.,0.936777398215761,0.5,0.877551893807891,0.25,1,1.82834128902573,2.5,6.25
108,-1.25,-2,0,1,1.25,.,0.896502783196809,0.25,0.803717240279624,0.0625,1,1.62885709238835,2.25,5.0625
109,-1,-2,0,1,1,.,0.850261500652123,0,0.722944619491199,0,1,1.4401896985612,2,4
110,-0.75,-2,0,1,0.75,.,0.798381621197511,0,0.637413213065965,0,1,1.26379901715787,1.75,3.0625
111,-0.5,-2,0,1,0.5,.,0.741662253223972,0,0.550062897857259,0,1,1.10100499522308,1.5,2.25
112,-0.25,-2,0,1,0.25,.,0.681379422907916,0,0.464277917962324,0,1,0.952867430921816,1.25,1.5625
113,0,-2,0,1,0,.,0.619202922022118,0,0.383412258640729,0,1,0.820075191602918,1,1
114,0.25,-2,0,1,0,.,0.55702642113632,0,0.310278433843936,0,0,0.702867430921816,0.75,0.5625
115,0.5,-2,0,1,0,.,0.496743590820263,0,0.246754195021009,0,0,0.601004995223079,0.5,0.25
116,0.75,-2,0,1,0,.,0.440024222846725,0,0.193621316691864,0,0,0.513799017157873,0.25,0.0625
117,1,-2,0,1,0,.,0.388144343392113,0,0.150656031307294,0,0,0.440189698561196,0,0
118,1.25,-2,0,1,0,.,0.341903060847427,0,0.116897703016839,0,0,0.378857092388346,0,0
119,1.5,-2,0,1,0,.,0.301628445828474,0,0.0909797193329006,0,0,0.328341289025725,0,0
120,1.75,-2,0,1,0,.,0.267250120053807,0,0.0714226266687743,0,0,0.28715216148106,0,0
121,2,-2,0,1,0,.,0.238405844044235,0,0.0568373464744442,0,0,0.253856022085945,0,0
122,2.25,-2,0,1,0,.,0.214552386921227,0,0.0460327267335959,0,0,0.22713456995972,0,0
123,2.5,-2,0,1,0,.,0.195061102043361,0,0.0380488335303705,0,0,0.205817745335522,0,0
124,2.75,-2,0,1,0,.,0.179289572196125,0,0.0321447506982696,0,0,0.188895600046171,0,0
125,3,-2,0,1,0,.,0.166628795199684,0,0.0277651553896983,0,0,0.175515362616715,0,0
126,-3,-1.75,1.25,0,3.25,.,1.10062132485412,2.25,1.21136730072364,5.0625,1,3.20881150201183,4,16
127,-2.75,-1.75,1,0,3,.,1.08796054785768,2,1.18365815369479,4,1,2.97219173944129,3.75,14.0625
128,-2.5,-1.75,0.75,0,2.75,.,1.07218901801045,1.75,1.1495892903422,3.0625,1,2.73911388473064,3.5,12.25
129,-2.25,-1.75,0.5,0,2.5,.,1.05269773313258,1.5,1.10817251734247,2.25,1,2.51043070935483,3.25,10.5625
130,-2,-1.75,0.25,0,2.25,.,1.02884427600957,1.25,1.05852054427766,1.5625,1,2.28715216148106,3,9
131,-1.75,-1.75,0,0.5,2,.,1,1,1,1,1,2.07044830087617,2.75,7.5625
132,-1.5,-1.75,0,1,1.75,.,0.965621674225333,0.75,0.932425217733736,0.5625,1,1.86163742842084,2.5,6.25
133,-1.25,-1.75,0,1,1.5,.,0.925347059206381,0.5,0.856267179981897,0.25,1,1.66215323178346,2.25,5.0625
134,-1,-1.75,0,1,1.25,.,0.879105776661694,0.25,0.772826966559961,0.0625,1,1.47348583795631,2,4
135,-0.75,-1.75,0,1,1,.,0.827225897207083,0,0.684302685010063,0,1,1.29709515655299,1.75,3.0625
136,-0.5,-1.75,0,1,0.75,.,0.770506529233544,0,0.593680311591522,0,1,1.13430113461819,1.5,2.25
137,-0.25,-1.75,0,1,0.5,.,0.710223698917488,0,0.504417702504038,0,1,0.986163570316931,1.25,1.5625
138,0,-1.75,0,1,0.25,.,0.64804719803169,0,0.419965170876724,0,1,0.853371330998033,1,1
139,0.25,-1.75,0,1,0,.,0.585870697145891,0,0.343244473774213,0,0,0.736163570316931,0.75,0.5625
140,0.5,-1.75,0,1,0,.,0.525587866829835,0,0.276242605758736,0,0,0.634301134618194,0.5,0.25
141,0.75,-1.75,0,1,0,.,0.468868498856297,0,0.219837669219757,0,0,0.547095156552987,0.25,0.0625
142,1,-1.75,0,1,0,.,0.416988619401685,0,0.173879508710523,0,0,0.47348583795631,0,0
143,1.25,-1.75,0,1,0,.,0.370747336856998,0,0.137453587786557,0,0,0.41215323178346,0,0
144,1.5,-1.75,0,1,0,.,0.330472721838046,0,0.109212219879046,0,0,0.36163742842084,0,0
145,1.75,-1.75,0,1,0,.,0.296094396063379,0,0.0876718913801371,0,0,0.320448300876174,0,0
146,2,-1.75,0,1,0,.,0.267250120053807,0,0.0714226266687743,0,0,0.28715216148106,0,0
147,2.25,-1.75,0,1,0,.,0.243396662930799,0,0.0592419355258489,0,0,0.260430709354834,0,0
148,2.5,-1.75,0,1,0,.,0.223905378052933,0,0.0501336183210268,0,0,0.239113884730637,0,0
149,2.75,-1.75,0,1,0,.,0.208133848205697,0,0.0433196987689122,0,0,0.222191739441286,0,0
150,3,-1.75,0,1,0,.,0.195473071209256,0,0.0382097215679789,0,0,0.208811502011829,0,0
151,-3,-1.5,1.5,0,3.5,.,1.13499965062879,2.5,1.28822420692747,6.25,1,3.25000062955649,4,16
152,-2.75,-1.5,1.25,0,3.25,.,1.12233887363235,2.25,1.25964454726633,5.0625,1,3.01338086698595,3.75,14.0625
153,-2.5,-1.5,1,0,3,.,1.10656734378511,2,1.22449128633164,4,1,2.7803030122753,3.5,12.25
154,-2.25,-1.5,0.75,0,2.75,.,1.08707605890725,1.75,1.18173435784931,3.0625,1,2.5516198368995,3.25,10.5625
155,-2,-1.5,0.5,0,2.5,.,1.06322260178424,1.5,1.13044230094485,2.25,1,2.32834128902573,3,9
156,-1.75,-1.5,0.25,0,2.25,.,1.03437832577467,1.25,1.0699385208324,1.5625,1,2.11163742842084,2.75,7.5625
157,-1.5,-1.5,0,0.5,2,.,1,1,1,1,1,1.9028265559655,2.5,6.25
158,-1.25,-1.5,0,1,1.75,.,0.959725384981047,0.75,0.92107281457702,0.5625,1,1.70334235932813,2.25,5.0625
159,-1,-1.5,0,1,1.5,.,0.913484102436361,0.5,0.834453205403965,0.25,1,1.51467496550098,2,4
160,-0.75,-1.5,0,1,1.25,.,0.861604222981749,0.25,0.742361837059984,0.0625,1,1.33828428409765,1.75,3.0625
161,-0.5,-1.5,0,1,1,.,0.804884855008211,0,0.647839629821589,0,1,1.17549026216286,1.5,2.25
162,-0.25,-1.5,0,1,0.75,.,0.744602024692154,0,0.554432175175656,0,1,1.0273526978616,1.25,1.5625
163,0,-1.5,0,1,0.5,.,0.682425523806356,0,0.46570459554238,0,1,0.894560458542698,1,1
164,0.25,-1.5,0,1,0.25,.,0.620249022920558,0,0.384708850433907,0,0,0.777352697861596,0.75,0.5625
165,0.5,-1.5,0,1,0,.,0.559966192604502,0,0.313562136859982,0,0,0.675490262162859,0.5,0.25
166,0.75,-1.5,0,1,0,.,0.503246824630963,0,0.253257366501148,0,0,0.588284284097652,0.25,0.0625
167,1,-1.5,0,1,0,.,0.451366945176352,0,0.203732119197831,0,0,0.514674965500975,0,0
168,1.25,-1.5,0,1,0,.,0.405125662631665,0,0.164126802522746,0,0,0.453342359328125,0,0
169,1.5,-1.5,0,1,0,.,0.364851047612713,0,0.133116286944094,0,0,0.402826555965505,0,0
170,1.75,-1.5,0,1,0,.,0.330472721838046,0,0.109212219879046,0,0,0.36163742842084,0,0
171,2,-1.5,0,1,0,.,0.301628445828474,0,0.0909797193329007,0,0,0.328341289025725,0,0
172,2.25,-1.5,0,1,0,.,0.277774988705466,0,0.0771589443503217,0,0,0.3016198368995,0,0
173,2.5,-1.5,0,1,0,.,0.2582837038276,0,0.0667104716629033,0,0,0.280303012275302,0,0
174,2.75,-1.5,0,1,0,.,0.242512173980364,0,0.0588121545286823,0,0,0.263380866985951,0,0
175,3,-1.5,0,1,0,.,0.229851396983923,0,0.052831664695461,0,0,0.250000629556494,0,0
176,-3,-1.25,1.75,0,3.75,.,1.17527426564774,2.75,1.38126959949384,7.5625,1,3.30051643291912,4,16
177,-2.75,-1.25,1.5,0,3.5,.,1.1626134886513,2.5,1.35167012399395,6.25,1,3.06389667034857,3.75,14.0625
178,-2.5,-1.25,1.25,0,3.25,.,1.14684195880407,2.25,1.31524647847355,5.0625,1,2.83081881563792,3.5,12.25
179,-2.25,-1.25,1,0,3,.,1.1273506739262,2,1.27091954200186,4,1,2.60213564026212,3.25,10.5625
180,-2,-1.25,0.75,0,2.75,.,1.10349721680319,1.75,1.21770610749239,3.0625,1,2.37885709238835,3,9
181,-1.75,-1.25,0.5,0,2.5,.,1.07465294079362,1.5,1.15487894315637,2.25,1,2.16215323178346,2.75,7.5625
182,-1.5,-1.25,0.25,0,2.25,.,1.04027461501895,1.25,1.08217127465283,1.5625,1,1.95334235932813,2.5,6.25
183,-1.25,-1.25,0,0.5,2,.,1,1,1,1,1,1.75385816269075,2.25,5.0625
184,-1,-1.25,0,1,1.75,.,0.953758717455314,0.75,0.909655691122005,0.5625,1,1.5651907688636,2,4
185,-0.75,-1.25,0,1,1.5,.,0.901878838000702,0.5,0.813385438433496,0.25,1,1.38880008746027,1.75,3.0625
186,-0.5,-1.25,0,1,1.25,.,0.845159470027164,0.25,0.714294529776596,0.0625,1,1.22600606552548,1.5,2.25
187,-0.25,-1.25,0,1,1,.,0.784876639711107,0,0.616031339564199,0,1,1.07786850122422,1.25,1.5625
188,0,-1.25,0,1,0.75,.,0.722700138825309,0,0.522295490658121,0,1,0.945076261905318,1,1
189,0.25,-1.25,0,1,0.5,.,0.660523637939511,0,0.436291476276846,0,0,0.827868501224217,0.75,0.5625
190,0.5,-1.25,0,1,0.25,.,0.600240807623454,0,0.360289027136457,0,0,0.72600606552548,0.5,0.25
191,0.75,-1.25,0,1,0,.,0.543521439649916,0,0.295415555359117,0,0,0.638800087460273,0.25,0.0625
192,1,-1.25,0,1,0,.,0.491641560195304,0,0.241711423711273,0,0,0.565190768863596,0,0
193,1.25,-1.25,0,1,0,.,0.445400277650618,0,0.198381407331247,0,0,0.503858162690746,0,0
194,1.5,-1.25,0,1,0,.,0.405125662631665,0,0.164126802522746,0,0,0.453342359328125,0,0
195,1.75,-1.25,0,1,0,.,0.370747336856998,0,0.137453587786557,0,0,0.41215323178346,0,0
196,2,-1.25,0,1,0,.,0.341903060847427,0,0.116897703016839,0,0,0.378857092388346,0,0
197,2.25,-1.25,0,1,0,.,0.318049603724418,0,0.101155550429259,0,0,0.35213564026212,0,0
198,2.5,-1.25,0,1,0,.,0.298558318846552,0,0.0891370697524796,0,0,0.330818815637922,0,0
199,2.75,-1.25,0,1,0,.,0.282786788999316,0,0.0799683680325439,0,0,0.313896670348572,0,0
200,3,-1.25,0,1,0,.,0.270126012002875,0,0.0729680623605776,0,0,0.300516432919115,0,0
201,-3,-1,2,0,4,.,1.22151554819243,3,1.49210023447585,9,1,3.36184903909197,4,16
202,-2.75,-1,1.75,0,3.75,.,1.20885477119599,2.75,1.4613298578433,7.5625,1,3.12522927652142,3.75,14.0625
203,-2.5,-1,1.5,0,3.5,.,1.19308324134875,2.5,1.42344762078724,6.25,1,2.89215142181077,3.5,12.25
204,-2.25,-1,1.25,0,3.25,.,1.17359195647089,2.25,1.37731808029316,5.0625,1,2.66346824643497,3.25,10.5625
205,-2,-1,1,0,3,.,1.14973849934788,2,1.32189861688271,4,1,2.4401896985612,3,9
206,-1.75,-1,0.75,0,2.75,.,1.12089422333831,1.75,1.25640385991318,3.0625,1,2.22348583795631,2.75,7.5625
207,-1.5,-1,0.5,0,2.5,.,1.08651589756364,1.5,1.18051679565852,2.25,1,2.01467496550098,2.5,6.25
208,-1.25,-1,0.25,0,2.25,.,1.04624128254469,1.25,1.09462082130075,1.5625,1,1.8151907688636,2.25,5.0625
209,-1,-1,0,0.5,2,.,1,1,1,1,1,1.62652337503645,2,4
210,-0.75,-1,0,1,1.75,.,0.948120120545388,0.75,0.898931762983001,0.5625,1,1.45013269363312,1.75,3.0625
211,-0.5,-1,0,1,1.5,.,0.89140075257185,0.5,0.79459530168566,0.25,1,1.28733867169833,1.5,2.25
212,-0.25,-1,0,1,1.25,.,0.831117922255793,0.25,0.690757000694787,0.0625,1,1.13920110739707,1.25,1.5625
213,0,-1,0,1,1,.,0.768941421369995,0,0.591270909498508,0,1,1.00640886807817,1,1
214,0.25,-1,0,1,0.75,.,0.706764920484197,0,0.499516652827033,0,0,0.889201107397066,0.75,0.5625
215,0.5,-1,0,1,0.5,.,0.646482090168141,0,0.417939092908168,0,0,0.78733867169833,0.5,0.25
216,0.75,-1,0,1,0.25,.,0.589762722194602,0,0.347820068490387,0,0,0.700132693633123,0.25,0.0625
217,1,-1,0,1,0,.,0.53788284273999,0,0.289317952514053,0,0,0.626523375036446,0,0
218,1.25,-1,0,1,0,.,0.491641560195304,0,0.241711423711273,0,0,0.565190768863596,0,0
219,1.5,-1,0,1,0,.,0.451366945176352,0,0.203732119197831,0,0,0.514674965500975,0,0
220,1.75,-1,0,1,0,.,0.416988619401685,0,0.173879508710523,0,0,0.47348583795631,0,0
221,2,-1,0,1,0,.,0.388144343392113,0,0.150656031307294,0,0,0.440189698561196,0,0
222,2.25,-1,0,1,0,.,0.364290886269105,0,0.13270784981873,0,0,0.41346824643497,0,0
223,2.5,-1,0,1,0,.,0.344799601391239,0,0.118886765119557,0,0,0.392151421810772,0,0
224,2.75,-1,0,1,0,.,0.329028071544003,0,0.108259471863965,0,0,0.375229276521421,0,0
225,3,-1,0,1,0,.,0.316367294547562,0,0.100088265059344,0,0,0.361849039091965,0,0
226,-3,-0.75,2.25,0,4.25,.,1.27339542764704,3.25,1.62153591515239,10.5625,1,3.43545835768864,4.25,16.0625
227,-2.75,-0.75,2,0,4,.,1.2607346506506,3,1.58945185935109,9,1,3.1988385951181,4,14.125
228,-2.5,-0.75,1.75,0,3.75,.,1.24496312080336,2.75,1.54993317216045,7.5625,1,2.96576074040745,3.75,12.3125
229,-2.25,-0.75,1.5,0,3.5,.,1.2254718359255,2.5,1.50178122064661,6.25,1,2.73707756503165,3.5,10.625
230,-2,-0.75,1.25,0,3.25,.,1.20161837880249,2.25,1.44388672827592,5.0625,1,2.51379901715787,3.25,9.0625
231,-1.75,-0.75,1,0,3,.,1.17277410279292,2,1.37539909618173,4,1,2.29709515655299,3,7.625
232,-1.5,-0.75,0.75,0,2.75,.,1.13839577701825,1.75,1.29594494513299,3.0625,1,2.08828428409765,2.75,6.3125
233,-1.25,-0.75,0.5,0,2.5,.,1.0981211619993,1.5,1.20587008643069,2.25,1,1.88880008746027,2.5,5.125
234,-1,-0.75,0.25,0,2.25,.,1.05187987945461,1.25,1.10645128080145,1.5625,1,1.70013269363312,2.25,4.0625
235,-0.75,-0.75,0,0.5,2,.,1,1,1,1,1,1.5237420122298,2,3.125
236,-0.5,-0.75,0,1,1.75,.,0.943280632026462,0.75,0.889778350756241,0.5625,1,1.36094799029501,1.75,2.3125
237,-0.25,-0.75,0,1,1.5,.,0.882997801710405,0.5,0.779685117825408,0.25,1,1.21281042599374,1.5,1.625
238,0,-0.75,0,1,1.25,.,0.820821300824607,0.25,0.6737476078874,0.0625,1,1.08001818667485,1.25,1.0625
239,0.25,-0.75,0,1,1,.,0.758644799938809,0,0.575541932474196,0,0,0.962810425993744,1,0.625
240,0.5,-0.75,0,1,0.75,.,0.698361969622753,0,0.48770944061537,0,0,0.860947990295007,0.75,0.3125
241,0.75,-0.75,0,1,0.5,.,0.641642601649214,0,0.411705228251172,0,0,0.7737420122298,0.5,0.125
