N,prediction.order,seconds,algorithm
10,sorted,0.0049678,Squared Hinge All Pairs
10,sorted,0.00451032,Squared Hinge All Pairs
10,sorted,0.00449488,Squared Hinge All Pairs
10,sorted,6.86e-05,AUM
10,sorted,2.312e-05,Logistic
10,sorted,1.324e-05,Logistic
10,sorted,3.196e-05,AUM
10,sorted,0.00450516,Squared Hinge All Pairs
10,sorted,2.74e-05,Logistic
10,sorted,1.304e-05,Logistic
10,sorted,4.784e-05,AUM
10,sorted,1.4e-05,Logistic
10,sorted,0.0044886,Squared Hinge All Pairs
10,sorted,5.708e-05,AUM
10,sorted,1.988e-05,Logistic
10,sorted,3.172e-05,AUM
10,sorted,0.0044538,Squared Hinge All Pairs
10,sorted,5.812e-05,AUM
10,sorted,3.276e-05,AUM
10,sorted,0.00449456,Squared Hinge All Pairs
10,sorted,8.184e-05,AUM
10,sorted,0.00448976,Squared Hinge All Pairs
10,sorted,0.00458028,Squared Hinge All Pairs
10,sorted,6.488e-05,AUM
10,sorted,0.00500416,Squared Hinge All Pairs
10,sorted,3.292e-05,Logistic
10,sorted,1.292e-05,Logistic
10,sorted,1.232e-05,Logistic
10,sorted,1.232e-05,Logistic
10,sorted,5.536e-05,AUM
10,unsorted,0.00497684,Squared Hinge All Pairs
10,unsorted,3.22e-05,Logistic
10,unsorted,5.532e-05,AUM
10,unsorted,0.00462108,Squared Hinge All Pairs
10,unsorted,2.728e-05,Logistic
10,unsorted,0.00446848,Squared Hinge All Pairs
10,unsorted,0.00446448,Squared Hinge All Pairs
10,unsorted,2.932e-05,Logistic
10,unsorted,5.34e-05,AUM
10,unsorted,3.12e-05,AUM
10,unsorted,3.08e-05,AUM
10,unsorted,1.292e-05,Logistic
10,unsorted,3.048e-05,AUM
10,unsorted,0.00450576,Squared Hinge All Pairs
10,unsorted,5.684e-05,AUM
10,unsorted,0.00444732,Squared Hinge All Pairs
10,unsorted,0.0044654,Squared Hinge All Pairs
10,unsorted,2.908e-05,Logistic
10,unsorted,1.272e-05,Logistic
10,unsorted,0.0044474,Squared Hinge All Pairs
10,unsorted,2.776e-05,Logistic
10,unsorted,1.264e-05,Logistic
10,unsorted,5.36e-05,AUM
10,unsorted,1.276e-05,Logistic
10,unsorted,3.144e-05,AUM
